ts,load_mbps
2022-04-26 15:30:00,25247168.333333347
2022-04-26 15:45:00,25713395.33333336
2022-04-26 16:00:00,25970312.333333332
2022-04-26 16:15:00,26269905.33333331
2022-04-26 16:30:00,26662403.00000002
2022-04-26 16:45:00,26951901.666666653
2022-04-26 17:00:00,26686990.00000001
2022-04-26 17:15:00,26557352.999999978
2022-04-26 17:30:00,26898162.33333334
2022-04-26 17:45:00,26990902.333333347
2022-04-26 18:00:00,27366190.333333343
2022-04-26 18:15:00,27475275.666666683
2022-04-26 18:30:00,27417948.333333336
2022-04-26 18:45:00,27601786.666666675
2022-04-26 19:00:00,27903979.99999999
2022-04-26 19:15:00,27797260.33333334
2022-04-26 19:30:00,28407735.999999996
2022-04-26 19:45:00,28527164.333333332
2022-04-26 20:00:00,28638884.000000007
2022-04-26 20:15:00,29222915.666666683
2022-04-26 20:30:00,29302289.66666666
2022-04-26 20:45:00,29025518.333333332
2022-04-26 21:00:00,29221652.333333332
2022-04-26 21:15:00,29434700.333333347
2022-04-26 21:30:00,29668744.999999985
2022-04-26 21:45:00,29748954.000000007
2022-04-26 22:00:00,30118355.999999996
2022-04-26 22:15:00,30452428.333333317
2022-04-26 22:30:00,30886550.333333366
2022-04-26 22:45:00,30851387.99999999
2022-04-26 23:15:00,31869437.666666664
2022-04-26 23:30:00,32749232.666666683
2022-04-26 23:45:00,33610931.33333336
2022-04-27 00:00:00,34847879.33333336
2022-04-27 00:15:00,35089134.66666664
2022-04-27 00:30:00,36465797.666666694
2022-04-27 00:45:00,37502816.33333331
2022-04-27 01:00:00,39157055.00000004
2022-04-27 01:15:00,39633642.99999998
2022-04-27 01:30:00,40120124.66666665
2022-04-27 01:45:00,40797520.33333335
2022-04-27 02:00:00,41617371.33333329
2022-04-27 02:15:00,41612215.66666666
2022-04-27 02:30:00,41329146.33333334
2022-04-27 02:45:00,40577738.3333333
2022-04-27 03:00:00,40005846.33333329
2022-04-27 03:15:00,39524792.0
2022-04-27 03:30:00,37635057.00000002
2022-04-27 03:45:00,36943294.33333331
2022-04-27 04:00:00,35316629.333333336
2022-04-27 04:15:00,34606624.99999999
2022-04-27 04:30:00,32476998.333333343
2022-04-27 04:45:00,31278848.999999985
2022-04-27 05:00:00,29207067.0
2022-04-27 05:15:00,27961770.0
2022-04-27 05:30:00,26442699.333333325
2022-04-27 05:45:00,25875762.666666657
2022-04-27 06:00:00,24031496.99999999
2022-04-27 06:15:00,23282577.000000004
2022-04-27 06:30:00,21839714.666666668
2022-04-27 06:45:00,21362793.666666646
2022-04-27 07:00:00,20560228.333333317
2022-04-27 07:15:00,19712450.66666668
2022-04-27 07:30:00,18643146.33333335
2022-04-27 07:45:00,18215590.666666683
2022-04-27 08:00:00,17235184.333333332
2022-04-27 08:15:00,17125269.33333334
2022-04-27 08:30:00,16741453.666666672
2022-04-27 08:45:00,16669142.33333334
2022-04-27 09:00:00,16524597.000000011
2022-04-27 09:15:00,16390836.666666664
2022-04-27 09:30:00,16013206.666666666
2022-04-27 09:45:00,16094125.333333334
2022-04-27 10:00:00,16508133.999999994
2022-04-27 10:15:00,16421460.999999996
2022-04-27 10:30:00,16769176.00000001
2022-04-27 10:45:00,16981802.5
2022-04-27 11:00:00,17644488.333333325
2022-04-27 11:15:00,17915212.666666668
2022-04-27 11:30:00,18513721.999999996
2022-04-27 11:45:00,18701405.00000001
2022-04-27 12:00:00,19574062.33333333
2022-04-27 12:15:00,20147930.000000004
2022-04-27 12:30:00,20359088.666666668
2022-04-27 12:45:00,20500607.0
2022-04-27 13:00:00,21416659.000000004
2022-04-27 13:15:00,21530836.000000004
2022-04-27 13:30:00,22283546.333333347
2022-04-27 13:45:00,22915085.3333333
2022-04-27 14:00:00,23449972.33333331
2022-04-27 14:15:00,24069985.666666683
2022-04-27 14:30:00,24500367.33333332
2022-04-27 14:45:00,24245203.333333354
2022-04-27 15:00:00,24721911.999999985
2022-04-27 15:15:00,24826729.33333333
2022-04-27 15:30:00,25010312.666666668
2022-04-27 15:45:00,25362519.66666666
2022-04-27 16:00:00,25854360.333333336
2022-04-27 16:15:00,26005422.66666668
2022-04-27 16:30:00,26731743.0
2022-04-27 16:45:00,27380643.66666665
2022-04-27 17:00:00,27675985.000000015
2022-04-27 17:15:00,27747832.666666657
2022-04-27 17:30:00,29202916.666666664
2022-04-27 17:45:00,29131561.333333343
2022-04-27 18:00:00,28509504.33333334
2022-04-27 18:15:00,28846479.000000004
2022-04-27 18:30:00,29515109.666666653
2022-04-27 18:45:00,29564757.000000004
2022-04-27 19:00:00,29995648.333333332
